137.080    243.577  628.000   
156.891    247.385  601.000   
173.165    247.262  588.000   
174.928    239.891  620.000   
161.705    238.609  637.000   
147.840    236.686  640.000   
135.819    232.440  601.000   
147.840    227.312  628.000   
164.830    227.472  661.000   
176.852    232.520  650.000   
189.490    240.902  641.000   
164.245    219.029  658.000   
135.795    220.632  579.000   
144.610    215.023  597.000   
153.266    210.348  619.000   
141.260    210.348  612.000   
195.194    247.360  622.000   
193.707    233.039  670.000   
179.383    220.553  689.000   
196.136    226.895  690.000   
199.358    220.701  700.000   
206.495    233.089  671.000   
211.204    223.278  690.000   
206.901    250.019  662.000   
213.465    242.206  685.000   
219.654    249.456  692.000   
229.095    242.769  711.000   
221.718    234.331  700.000   
227.469    229.956  710.000   
228.282    225.456  709.000   
233.596    232.706  717.000   
238.660    240.894  712.000   
238.660    250.644  708.000   
240.660    222.581  700.000   
236.159    228.581  710.000   
246.415    232.456  691.000   
255.042    239.894  658.000   
249.103    246.894  680.000   
249.791    224.081  675.000   
264.214    248.600  632.000   
277.484    246.705  628.000   
289.912    240.809  598.000   
286.331    235.544  585.000   
270.603    238.211  600.000   
261.335    239.896  635.000   
258.667    224.313  647.000   
269.761    225.156  592.000   
277.976    228.244  568.000   
248.837    212.625  669.000   
258.878    217.187  630.000   
264.214    212.765  611.000   
272.218    212.414  580.000   
277.905    216.134  560.000   
286.752    216.907  531.000   
290.473    204.483  522.000   
275.729    203.219  577.000   
268.988    205.676  600.000   
257.333    202.868  637.000   
213.413    213.726  701.000   
213.974    208.743  690.000   
225.840    206.496  670.000   
233.213    211.691  681.000   
230.896    214.849  690.000   
239.391    204.040  650.000   
217.766    196.599  642.000   
237.215    194.634  621.000   
254.206    195.897  620.000   
255.751    188.106  599.000   
240.445    189.720  605.000   
224.085    186.141  610.000   
214.957    184.441  631.000   
215.028    177.141  615.000   
222.751    172.999  600.000   
208.919    168.577  642.000   
231.738    176.860  578.000   
244.166    183.528  585.000   
248.940    178.404  568.000   
250.976    172.297  550.000   
173.980    214.854  677.000   
188.999    215.052  709.000   
204.913    211.970  710.000   
197.155    207.794  717.000   
184.125    209.782  700.000   
174.378    203.717  668.000   
185.219    201.828  699.000   
163.338    206.103  641.000   
145.534    201.231  638.000   
158.961    197.851  653.000   
148.419    187.410  670.000   
162.741    189.498  681.000   
174.776    192.183  695.000   
185.816    193.177  710.000   
171.593    185.521  700.000   
151.402    176.075  691.000   
135.567    202.519  631.000   
137.755    179.749  682.000   
143.226    165.928  700.000   
155.360    168.016  697.000   
161.427    171.596  700.000   
166.897    175.076  702.000   
176.645    180.744  710.000   
186.093    186.809  718.000   
201.042    203.216  710.000   
204.921    201.923  699.000   
205.021    195.460  680.000   
194.876    195.460  709.000   
196.567    186.113  690.000   
204.225    184.124  669.000   
190.201    178.755  700.000   
193.583    173.783  690.000   
199.551    165.033  661.000   
174.088    165.928  682.000   
186.422    164.337  669.000   
216.966    160.417  618.000   
232.681    160.914  559.000   
222.536    151.866  594.000   
210.004    148.684  629.000   
225.719    142.122  579.000   
240.837    144.607  531.000   
218.657    136.852  600.000   
180.563    147.988  630.000   
198.765    145.403  618.000   
177.281    139.536  642.000   
196.378    135.758  592.000   
136.104    153.159  722.000   
155.797    159.920  689.000   
160.472    148.982  671.000   
141.375    147.789  718.000   
154.703    141.028  701.000   
139.187    137.647  694.000   
152.714    134.068  680.000   
165.942    131.979  668.000   
136.203    105.835  600.000   
143.464    104.144  578.000   
140.978    117.269  620.000   
160.074    122.539  637.000   
160.671    110.806  602.000   
158.085    103.548  570.000   
176.485    107.425  614.000   
175.391    123.832  649.000   
183.945    113.690  631.000   
190.509    102.951  618.000   
187.923    130.792  620.000   
194.587    116.374  599.000   
204.533    114.982  561.000   
206.025    103.050  587.000   
204.280    125.329  558.000   
211.839    131.693  581.000   
217.409    122.545  550.000   
212.038    116.877  531.000   
225.565    103.056  521.000   
227.753    110.514  500.000   
228.250    117.872  528.000   
223.575    127.020  562.000   
232.229    135.770  571.000   
243.070    126.125  518.000   
240.309    167.222  541.000   
252.642    158.074  510.000   
250.454    147.634  509.000   
246.376    134.509  539.000   
259.505    133.713  501.000   
259.703    124.466  481.000   
265.074    179.552  580.000   
262.488    169.608  551.000   
269.053    159.963  529.000   
266.069    153.202  510.000   
257.913    147.435  489.000   
269.252    136.696  471.000   
269.650    126.256  460.000   
281.013    197.548  565.000   
266.392    191.582  609.000   
277.134    188.897  586.000   
286.782    193.173  550.000   
278.228    180.048  581.000   
290.561    173.585  572.000   
271.266    170.701  560.000   
283.599    160.161  542.000   
279.521    148.528  508.000   
273.852    142.987  490.000   
290.263    141.894  491.000   
283.201    134.536  470.000   
283.102    126.780  450.000   
285.190    115.146  480.000   
269.575    114.649  501.000   
252.269    115.544  478.000   
250.379    105.103  491.000   
270.669    105.998  532.000   
287.677    104.407  509.000   
